trial_id,def_sex,offence,trial_place,trial_judge,verdict,trial_year,sentence
80415,MALE,EMBEZZLEMENT,MARYBOROUGH,COCKLE,NOLLE,1868,DISCHARGED
80428,MALE,LARCENY & RECEIVING,MARYBOROUGH,COCKLE,GUILTY,1868,1-11 MONTHS HL
80478,MALE,HORSE STEALING,MARYBOROUGH,COCKLE,GUILTY,1868,12-18 MONTHS HL
80492,MALE,HORSE STEALING,MARYBOROUGH,COCKLE,NOLLE,1868,DISCHARGED
80571,MALE,LARCENY,MARYBOROUGH,COCKLE,GUILTY,1869,1-11 MONTHS HL
80604,MALE,HORSE STEALING,MARYBOROUGH,COCKLE,GUILTY,1870,3 YEARS HL
81105,MALE,LARCENY,TOOWOOMBA,PAUL,GUILTY,1878,2 YEARS
81684,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1893,12-18 MONTHS HL
81744,MALE,LARCENY & RECEIVING,MARYBOROUGH,COCKLE,NOT GUILTY,1872,DISCHARGED
81747,MALE,LARCENY & RECEIVING,MARYBOROUGH,COCKLE,GUILTY,1872,12-18 MONTHS HL
81987,MALE,HORSE STEALING,MARYBOROUGH,LUTWYCHE,NOT GUILTY,1876,DISCHARGED
83047,MALE,EMBEZZLEMENT,MARYBOROUGH,LUTWYCHE,NOT GUILTY,1878,DISCHARGED
83444,MALE,LARCENY,BRISBANE,MILLER,NOLLE,1882,DISCHARGED
83446,MALE,FALSE PRETENCES,BRISBANE,MILLER,GUILTY,1882,DISCHARGED
83508,MALE,LARCENY,BRISBANE,COCKLE,NOT GUILTY,1878,DISCHARGED
83509,MALE,LARCENY,BRISBANE,COCKLE,NOT GUILTY,1878,DISCHARGED
83553,FEMALE,LARCENY,BRISBANE,MILLER,NOLLE,1882,DISCHARGED
83554,MALE,LARCENY,BRISBANE,MILLER,GUILTY,1882,12-18 MONTHS
83770,MALE,LARCENY,TOOWOOMBA,LUTWYCHE,NOLLE,1863,DISCHARGED
83834,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1878,1-11 MONTHS HL
83900,FEMALE,LARCENY,BRISBANE,PAUL,GUILTY,1878,12-18 MONTHS HL
83930,MALE,HORSE STEALING,TOOWOOMBA,PAUL,GUILTY,1878,2 YEARS HL
83993,FEMALE,LARCENY,BRISBANE,MILLER,GUILTY,1882,12-18 MONTHS
84016,MALE,LARCENY,BRISBANE,COCKLE,GUILTY,1872,1-11 MONTHS
85958,MALE,CATTLE STEALING,IPSWICH,COCKLE,NOT GUILTY,1871,DISCHARGED
85959,MALE,LARCENY,IPSWICH,COCKLE,GUILTY,1871,1-11 MONTHS HL
85992,MALE,HORSE STEALING,BRISBANE,PAUL,GUILTY,1893,SUSPENDED
85995,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1893,SUSPENDED
86147,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1893,1-11 MONTHS HL
86348,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1893,1-11 MONTHS HL
86353,MALE,LARCENY,CHARTERS TOWERS,NOEL,GUILTY,1893,12-18 MONTHS HL
86355,MALE,LARCENY,CHARTERS TOWERS,NOEL,GUILTY,1893,SUSPENDED
86476,MALE,LARCENY,BRISBANE,LUTWYCHE,GUILTY,1878,12-18 MONTHS HL
