"Squirrel Census data collected by a team of dedicated volunteer Squirrel Surveyors, under directions from the Dept. of Data - NYC.",,,,,,,,,,,,
The Squirrel Census covered 24 parks in New York City.,,,,,,,,,,,,
Data was collected over a 1 year period; March 2020 to Febuary 2021.,,,,,,,,,,,,
,,,,,,,,,,,,
Area,Park name,Park ID,Date,Squirrel ID,Squirrel count,Fur colour,Location,Activities; Interactions with Humans,Other Notes or Observations,Latitude,Longitude,Acres
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-10,1,Gray; Cinnamon,"On ground, Above Ground, Specific Location: Started on ground, climbed 6' ft.","Climbing, Foraging; Watching us from tree - very interested in us","Lots of garbage, near #8 & #9",40.842511,-73.932916,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-11,1,Gray; Cinnamon,Above Ground,"Vocalization at us; Approaches humans, watching us",,40.842673,-73.932793,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-12,1,Gray; White,On ground,"Running, Foraging; Runs from humans",,40.842795,-73.933002,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-13,1,Gray; Cinnamon,On ground,Running,,,,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-14,1,Gray; Cinnamon,On ground,"Running, Eating; Runs from humans, watches us in short tree",Loud sparrows in tree,40.842327,-73.934269,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-15,1,Gray; Cinnamon,"Above Ground, Specific Location: in tree",Jumped to building,,40.842359,-73.934177,130.1
UPPER MANHATTAN,Highbridge Park,M037,27/02/2021,M037-16,1,Gray; Cinnamon,On ground,"Eating, Foraging; Indifferent to humans",,40.842769,-73.934478,130.1
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-01,1,Gray; White,Above Ground,Climbing; Indifferent to humans,Jumping between,40.817593,-73.948855,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-02,1,Black; Black,On ground,Foraging; Indifferent to humans,Chasing #3,40.817719,-73.948855,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-03,1,Gray; White,On ground,Eating; Indifferent to humans,Being chased by #2,40.817719,-73.948914,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-04,1,Gray; White,On ground,Foraging; Indifferent to humans,,40.817711,-73.949118,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-05,1,Gray; White,On ground,"Climbing, Eating; Indifferent to humans",,40.817569,-73.948931,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-06,1,Gray,Above Ground,"Chasing, Climbing; Indifferent to humans",,40.817544,-73.949016,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-07,1,Gray,Above Ground,"Chasing, Climbing; Indifferent to humans",,40.817544,-73.949016,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-08,1,Gray; White,On ground,Running; Runs from humans,,40.817479,-73.949006,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-09,1,Gray; White,On ground,Foraging; Indifferent to humans,Wooded area,40.816685,-73.949689,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-10,1,Gray,On ground,Foraging; Indifferent to humans,Wooded area,40.816677,-73.949549,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-11,1,Black; Black,On ground,Foraging; Indifferent to humans,Wooded area,40.816555,-73.949609,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-12,1,Gray; White,On ground,Foraging; Indifferent to humans,Wooded area - would look but not fully approach,40.816506,-73.949587,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-13,1,Gray; White,On ground,Running; Indifferent to humans,,40.816425,-73.949474,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-14,1,Gray,On ground,Foraging; Indifferent to humans,,40.818308,-73.948952,22.74
UPPER MANHATTAN,St. Nicholas Park,M077,25/04/2020,M077-15,1,Gray; Black,On ground,Foraging; Indifferent to humans,,40.818263,-73.948909,22.74
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-01,1,Gray,On ground,"Running, up tree; Runs from humans",,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-02,1,Gray,On ground,"Running, up tree; Runs from humans",,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-03,1,Gray,On ground,"Running, up tree; Indifferent to humans",,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-04,1,Gray,On ground,Chasing; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-05,1,Gray,On ground,Chasing,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-06,1,Gray,Above Ground,Sitting on branch; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-07,1,Gray,On ground,"Running, up tree; Indifferent to humans",Forever wild section,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-08,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-09,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (section near Grant Memorial),M071,16/05/2020,M071-10,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park; Grant Memorial,M071,16/05/2020,M071-11,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
UPPER MANHATTAN,Riverside Park (Section Near Grant Memorial),M071,16/05/2020,M071-12,1,Gray,On ground,Eating; Indifferent to humans,,,,253.168
